number,state,value,mutation_scale,population_size,n_generations,mutation_decay,deform_width,max_amp,n_cpts,datetime_start,duration_seconds
0,COMPLETE,0.7946492475154275,0.29766529556642524,34,32,0.9156018640442437,0.13579698618491143,0.14065852851773963,106,2026-09-12T02:25:22.222564,900.106329
1,COMPLETE,0.842983636333384,0.021577821216350126,36,40,0.9832442640800422,0.16678651087305188,0.22727747704497045,30,2026-09-12T02:40:22.368437,1432.896151
2,COMPLETE,0.8658769888462617,0.09840832244056645,33,26,0.9611852894722379,0.126721623358623,0.3045012539746528,50,2026-09-12T03:04:15.289493,817.638144
3,COMPLETE,0.8164467482756796,0.04177528037810312,35,30,0.9592414568862042,0.07554772699599875,0.5252813963310069,28,2026-09-12T03:17:52.956193,1026.924411
4,COMPLETE,0.8357888736517637,0.7047424666875727,30,36,0.9304613769173371,0.10371966270351113,0.5789631185585099,58,2026-09-12T03:34:59.901110,1045.985455
5,COMPLETE,0.8569671238107363,0.02270505035982234,31,39,0.9258779981600017,0.41438725639469004,0.3181977532625877,67,2026-09-12T03:52:25.908537,1226.214445
6,COMPLETE,0.7870891100583829,0.7150933445130564,36,36,0.9939498941564189,0.5421550427352068,0.5185299851677596,112,2026-09-12T04:12:52.142980,1291.285987
7,COMPLETE,0.8532490118577075,0.023631257130122117,30,26,0.9388677289689482,0.1992419674756427,0.6801162564063505,49,2026-09-12T04:34:23.450252,802.509687
8,COMPLETE,0.8686958036899002,0.03363559064159645,33,36,0.9074550643679771,0.5927878151302844,0.6405713385076602,32,2026-09-12T04:47:45.987573,1202.79429
9,COMPLETE,0.8398443042769917,0.27130504259093474,30,35,0.9771270346685945,0.09072455845374969,0.3509260099809909,22,2026-09-12T05:07:48.810320,708.824608
10,COMPLETE,0.8219953739964371,0.05543328013238787,36,39,0.9313242164410778,0.4115947045585331,0.548098942615067,95,2026-09-12T05:19:37.656841,1371.996871
11,COMPLETE,0.8582286201755288,0.08825496938516143,33,27,0.9547267831119949,0.5229775035293202,0.6334871314140587,32,2026-09-12T05:42:29.675187,842.527786
12,COMPLETE,0.85576468173561,0.0328154631078287,34,36,0.9284024077676492,0.5200764977087685,0.7998327319108575,16,2026-09-12T05:56:32.235881,1237.309384
13,COMPLETE,0.8628578677459599,0.11433608867330125,32,31,0.9718021439640427,0.36080827828247336,0.23867987463959084,52,2026-09-12T06:17:09.580610,872.837487
14,COMPLETE,0.8632562152265869,0.022565526676241083,36,39,0.9033717809267828,0.3151972384700678,0.37548546324002424,31,2026-09-12T06:31:42.438851,1420.85391
15,COMPLETE,0.8718283983411622,0.0381707117114944,32,35,0.9771929583760194,0.28258060909191607,0.7409285944771379,38,2026-09-12T06:55:23.334004,1133.723496
16,COMPLETE,0.872566582226777,0.05308255095351683,34,33,0.9011938211791242,0.26629567554859473,0.6150800970055766,30,2026-09-12T07:14:17.083078,1136.765291
17,COMPLETE,0.860358545628138,0.021741060318014666,35,37,0.9962955815892829,0.3283382734973864,0.6655005694713396,34,2026-09-12T07:33:13.873993,1311.888362
18,COMPLETE,0.8604125156091399,0.056719559019845635,33,32,0.9095772665435665,0.26708901104987715,0.6627645363958145,58,2026-09-12T07:55:05.787540,1065.86606
19,COMPLETE,0.8273991875777629,0.06573993191820006,33,38,0.9890341810415474,0.2143101648751719,0.7276864412330131,44,2026-09-12T08:12:51.712726,1194.044528
20,COMPLETE,0.8580286308498609,0.07286856725644063,32,31,0.9097550253529872,0.3087773793220002,0.6136723155648535,22,2026-09-12T08:32:45.776787,994.081898
21,COMPLETE,0.8650886531361398,0.02560115980591209,35,29,0.9080025463882285,0.31149642914168096,0.6290238559095326,33,2026-09-12T08:49:19.886994,1038.592366
22,COMPLETE,0.8466882555047824,0.03128004281850522,34,35,0.9306931211673724,0.5290285817759135,0.7230412801091138,46,2026-09-12T09:06:38.500127,1200.972366
23,COMPLETE,0.8558066563075624,0.048163344009812294,33,37,0.9042233497348889,0.21420136449678845,0.5510367099090941,30,2026-09-12T09:26:39.503849,1227.951709
24,COMPLETE,0.8593445990803389,0.056838303856583096,31,33,0.9935465729025863,0.2255313079201264,0.7479442894924566,33,2026-09-12T09:47:07.475311,1000.350174
25,COMPLETE,0.8417877739889342,0.05004552234068165,32,34,0.913679834389957,0.5237656797415925,0.7230583013302998,30,2026-09-12T10:03:47.845758,1104.095952
26,COMPLETE,0.8496013504611648,0.050335576298840196,35,36,0.9001677683438483,0.14122573660891932,0.6401709572415436,39,2026-09-12T10:22:11.963929,1283.143494
27,COMPLETE,0.8669334701319583,0.051620334503353536,32,33,0.9449433442560085,0.23430453735991308,0.6941988778517425,45,2026-09-12T10:43:35.127095,1067.723098
28,COMPLETE,0.8388730271029142,0.02317321801650119,34,35,0.9112245979235412,0.445562034842362,0.7899126546227014,37,2026-09-12T11:01:22.874091,1218.840948
